path,task,dataset,artifact_type,bytes,sha256
graph/tu_cox2/ecc_predictor.pt,graph,tu_cox2,torch_artifact,116050,c1173c0770caf72e4daa9eab436aec9bda70bec3b63bca9771cddce9b0b42e23
graph/tu_cox2/model_graph.pt,graph,tu_cox2,torch_artifact,656432,d474dc399463533d3b692e268df6c18cf3abe6b5c1e2b732f4869e71eb2ad4f8
graph/tu_cox2/TU_COX2.db,graph,tu_cox2,sqlite_database,188416,0c45bbfcbed454a4409400cde205d03d8e70f0e5c25c9a2b8dce17311ced81f7
graph/tu_dd/ecc_predictor.pt,graph,tu_dd,torch_artifact,113938,4d3a4b4a6cd5c029b6b271ec384735977c2deb50da86dfd08a392e5ba594cb68
graph/tu_dd/model_graph.pt,graph,tu_dd,torch_artifact,656432,5fee3562e81d1ed273099c4859d9b5fd0bf007342c7a78670d34a0991dfaf39f
graph/tu_dd/TU_DD.db,graph,tu_dd,sqlite_database,188416,13363f0fc7220673a68a44f917d6b6679a7aa9014aa663dde1ec532ed4012dfa
graph/tu_imdb-binary/ecc_predictor.pt,graph,tu_imdb-binary,torch_artifact,113938,e6cefbd0af1ecd591c2a1f71895208cdac8fa9d2b82bac008af75179248a9e3e
graph/tu_imdb-binary/model_graph.pt,graph,tu_imdb-binary,torch_artifact,656432,42e4d754e374e5e2c30b03317b65cf40de0a824224bb5a483e52d4ad17f7c06a
graph/tu_imdb-binary/TU_IMDB-BINARY.db,graph,tu_imdb-binary,sqlite_database,188416,913c0a11bbb04e8ecc5a9c44dd1466157ec5a7e85fc46e880ae60d89460fbf05
graph/tu_imdb-multi/ecc_predictor.pt,graph,tu_imdb-multi,torch_artifact,113938,0657802de1fd7019012bfd9dd71e44131d76e5f164af5dce8b9f3c598aa221e6
graph/tu_imdb-multi/model_graph.pt,graph,tu_imdb-multi,torch_artifact,656432,df4be89278abbefcba09cd995018368d1a6a66de5f1857121ce8069330f098a6
graph/tu_imdb-multi/TU_IMDB-MULTI.db,graph,tu_imdb-multi,sqlite_database,192512,c0863355de03f29c499801140691dfd9b60bd7ab386eee7ee5bcd7d737fdbc3e
graph/tu_nci1/ecc_predictor.pt,graph,tu_nci1,torch_artifact,113938,3dbdef4ed5fdce01083df52f1a8ea9b5504146f2759f5a9f042ecf61e9454327
graph/tu_nci1/model_graph.pt,graph,tu_nci1,torch_artifact,656432,059895dfc7b495a0463b18b198b41772320bd23e4f34de6c9774f1beb63fe783
graph/tu_nci1/TU_NCI1.db,graph,tu_nci1,sqlite_database,192512,b099c13b7a33dd5c44bbf83aa7618fcea1c145beb4f0ec7a8eb8b5850604761e
graph/tu_nci109/ecc_predictor.pt,graph,tu_nci109,torch_artifact,113938,afa601940a1fdf6be878309f0b890c7ccbd299ca3496ed06e470f600f2bfc4c0
